Číslo přejezdu železniční	Název definičního úseku 	Žkm přejezdu	Přejezd s trolejovým vedením	Třída pozemní komunikace	Číslo pozemní komunikace	Místní název přejezdu	Zeměpisná šířka	Zeměpisná délka
P242	Kněževes - Kolešovice	11,826	Ne	III.	2284		50° 08' 07.31043'' N	13° 36' 21.76962'' E
P243	Lužná u Rakovníka - RKZ Rakovník	0,439	Ne	O			50° 08' 41.51903'' N	13° 45' 50.81742'' E
P244	Lužná u Rakovníka - RKZ Rakovník	1,103	Ne	III.	22915		50° 08' 27.34650'' N	13° 45' 27.47866'' E
P245	Lužná u Rakovníka - RKZ Rakovník	2,753	Ne	O			50° 08' 00.61932'' N	13° 44' 25.07124'' E
P246	Lužná u Rakovníka - RKZ Rakovník	3,575	Ne	O			50° 07' 38.67911'' N	13° 44' 01.99318'' E
P247	RKZ Rakovník - Rakovník	5,295	Ne	O			50° 06' 48.61524'' N	13° 44' 14.70898'' E
P249	RKZ Rakovník - Rakovník	6,263	Ne	V			50° 06' 26.82770'' N	13° 44' 49.69980'' E
P250	Tršnice - Františkovy Lázně	0,613	Ano	O			50° 06' 35.40931'' N	12° 23' 39.63730'' E
P251	Tršnice - Františkovy Lázně	1,187	Ano	O			50° 06' 38.65968'' N	12° 23' 12.22206'' E
P252	Tršnice - Františkovy Lázně	2,964	Ano	MK			50° 06' 57.90270'' N	12° 21' 51.39702'' E
P253	Chodov-staniční kolejiště - CHODOS	0,575	Ne	C			50° 13' 57.66763'' N	12° 45' 01.41197'' E
P254	Chodov-staniční kolejiště - CHODOS	0,791	Ne	MK			50° 13' 56.57394'' N	12° 45' 11.80463'' E
P255	Chodov-staniční kolejiště - CHODOS	1,919	Ne	II.	222		50° 14' 20.25183'' N	12° 45' 42.17042'' E
P256	Chodov-staniční kolejiště - CHODOS	2,467	Ne	O			50° 14' 30.34664'' N	12° 46' 03.51702'' E
P257	CHODOS - SEDLECKÝ KAOLIN Božičany	3,7	Ne	O			50° 15' 05.31740'' N	12° 46' 26.11544'' E
P258	SEDLECKÝ KAOLIN Božičany - Nová Role	4,294	Ne	C			50° 15' 24.12872'' N	12° 46' 31.18136'' E
P259	SEDLECKÝ KAOLIN Božičany - Nová Role	4,713	Ne	O			50° 15' 34.75094'' N	12° 46' 42.69140'' E
P260	SEDLECKÝ KAOLIN Božičany - Nová Role	5,008	Ne	II.	209		50° 15' 44.14632'' N	12° 46' 45.76504'' E
P261	Tunel - Praha-Radotín (odj.kol.)	11,902	Ano	II.		U závodiště	50° 00' 42.37126'' N	14° 23' 19.85841'' E
P261	Tunel - Praha-Radotín (vj.kol.)	11,906	Ano	II.		U závodiště	50° 00' 42.37126'' N	14° 23' 19.85841'' E
P261	Praha-Smíchov-jižní zhlaví - Praha-Radotín	6,29	Ano	II.		U závodiště	50° 00' 42.37126'' N	14° 23' 19.85841'' E
P262	žst. Praha-Radotín	10,028	Ano	III.		u okrsku, ul. Na Betonce	49° 59' 02.46094'' N	14° 21' 42.10760'' E
P263	Praha-Radotín - Dobřichovice	11,524	Ano	II.	115		49° 58' 29.83898'' N	14° 20' 47.49480'' E
P264	Praha-Radotín - Dobřichovice	14,089	Ano	II.	115	Černošice-velký, ul.Radotínská	49° 57' 37.54564'' N	14° 19' 24.91644'' E
P265	Praha-Radotín - Dobřichovice	14,212	Ano	III.		ul. Kazínská, Vrážská	49° 57' 33.53709'' N	14° 19' 24.31073'' E
P266	Praha-Radotín - Dobřichovice	15,588	Ano	MK		Čern. Mokropsy - vládní	49° 56' 52.91388'' N	14° 19' 50.17576'' E
P267	Praha-Radotín - Dobřichovice	16,048	Ano	III.	1159	za zast. Černošice Mokropsy	49° 56' 39.27728'' N	14° 19' 44.60224'' E
P268	Praha-Radotín - Dobřichovice	18,552	Ano	III.			49° 55' 53.28604'' N	14° 18' 07.26638'' E
P269	žst. Dobřichovice	19,979	Ano	III.		ul. Svážná	49° 55' 36.15543'' N	14° 17' 01.45273'' E
P270	Dobřichovice - Řevnice	20,514	Ano	III.	11510	u mostu	49° 55' 29.97342'' N	14° 16' 36.36239'' E
P271	žst. Řevnice	23,201	Ano	II.	115		49° 55' 00.03652'' N	14° 14' 34.72037'' E
P272	Řevnice - Zadní Třebaň	23,977	Ano	MK			49° 54' 55.62995'' N	14° 13' 56.85158'' E
P273	Řevnice - Zadní Třebaň	25,145	Ano	MK			49° 55' 09.69369'' N	14° 13' 05.70535'' E
P274	Řevnice - Zadní Třebaň	25,804	Ano	MK			49° 55' 09.63797'' N	14° 12' 33.36818'' E
P275	Zadní Třebaň - Karlštejn	29,399	Ano	III.	11615		49° 55' 56.31520'' N	14° 10' 47.19395'' E
P276	žst. Karlštejn	30,469	Ano	MK			49° 55' 52.34042'' N	14° 09' 53.82488'' E
P277	Karlštejn - Beroun-os.n.	33,041	Ano	III.	11614		49° 55' 59.83990'' N	14° 07' 54.28223'' E
P278	žst. Beroun-stav.6 - (střídavá trakce)	41,343	Ano	III.	11524	okresní silnice	49° 56' 43.89762'' N	14° 02' 47.62285'' E
P278		41,343	ano	III		u KDC (Cementky)	49° 56' 43.897'' N	14° 02' 47.622'' E
P279	Beroun-stav.6 - Zdice	42,808	Ano	III.	11542	okr.silnice na Křižatky	49° 56' 16.14882'' N	14° 01' 48.50751'' E
P280	Beroun-stav.6 - Zdice	44,104	Ano	III.	11547	zast.Popovice, u koupaliště	49° 55' 41.23155'' N	14° 01' 12.77968'' E
P281	Beroun-stav.6 - Zdice	46,811	Ano	O		obecní cesta	49° 54' 42.29152'' N	13° 59' 34.33613'' E
P284	žst. Kařízek	71,756	Ano	III.	1183	okr.silnice	49° 48' 08.82822'' N	13° 46' 07.64495'' E
P285	žst. Holoubkov	77,302	Ano	MK		prechod	49° 46' 34.43705'' N	13° 42' 28.16611'' E
P286	Chrást u Plzně - Plzeň hl.n.-os.n.	98,742	Ano	II.	180	okr.silnice	49° 47' 29.71231'' N	13° 29' 27.71613'' E
P287	Kozolupy - Pňovany	361,658	Ano	O		Polní	49° 45' 56.16471'' N	13° 13' 30.77248'' E
P288	Kozolupy - Pňovany	365,481	Ano	O		polní	49° 46' 34.21060'' N	13° 10' 33.66735'' E
P289	Kozolupy - Pňovany	369,239	Ano	III.	19324	komunikace III.	49° 47' 12.10372'' N	13° 07' 44.19388'' E
P290	žst. Vranov u Stříbra	378,102	Ano	III.	19329	okr.silnice III	49° 45' 45.81045'' N	13° 02' 22.55590'' E
P291	Stříbro - Milíkov	383,828	Ano	O		lesni	49° 44' 17.00149'' N	12° 58' 57.06487'' E
P292	Stříbro - Milíkov	384,872	Ano	O		lesní	49° 44' 11.22580'' N	12° 58' 07.50599'' E
P293	Stříbro - Milíkov	385,418	Ano	O		lesní	49° 44' 13.58465'' N	12° 57' 40.54168'' E
P294	žst. Milíkov	386,918	Ano	O		polní	49° 44' 34.18287'' N	12° 56' 33.08502'' E
P295	žst. Pavlovice	403,849	Ano	III.	2002	okr.silnice	49° 49' 17.36620'' N	12° 46' 49.81276'' E
P296	Brod nad Tichou - Planá u Mar.Lázní	408,864	Ano	C		silnice	49° 49' 50.14839'' N	12° 44' 26.33917'' E
P298	Planá u Mar.Lázní - Chodová Planá	416,557	Ano	II.	201	okr.silnice	49° 53' 41.46879'' N	12° 43' 21.66621'' E
P299	Planá u Mar.Lázní - Chodová Planá	417,128	Ano	I.	21	silnice I tř. č.21	49° 53' 57.85461'' N	12° 43' 35.80611'' E
P300	Chodová Planá - Mariánské Lázně	422,92	Ano	C		mistní komunikace	49° 56' 40.79981'' N	12° 42' 22.98979'' E
P301	Chodová Planá - Mariánské Lázně	424,316	Ano	III.	2110	U nádraží	49° 57' 20.79846'' N	12° 41' 54.30176'' E
P302	Mariánské Lázně - Valy u Mar.Lázní	427,022	Ano	3L			49° 58' 25.31846'' N	12° 40' 31.42477'' E
P303	Valy u Mar.Lázní - Lázně Kynžvart	428,606	Ano	3L			49° 58' 46.41437'' N	12° 39' 19.53275'' E
P304	Valy u Mar.Lázní - Lázně Kynžvart	430,468	Ano	III.	2114		49° 59' 19.31382'' N	12° 38' 14.01059'' E
P305	Lázně Kynžvart - Dolní Žandov	432,588	Ano	II.	212	okr.silnice	49° 59' 37.76467'' N	12° 36' 35.47486'' E
P306	Dolní Žandov - Lipová u Chebu	441,57	Ano	C		polní	50° 01' 34.62202'' N	12° 30' 15.97061'' E
P307	žst. Lipová u Chebu	446,16	Ano	III.	21413		50° 02' 05.53484'' N	12° 27' 28.35491'' E
P308	Lipová u Chebu - Cheb (velenické staničení)	450,996	Ano	O			50° 02' 58.77027'' N	12° 24' 41.45704'' E
P309	Lipová u Chebu - Cheb (velenické staničení)	453,267	Ano	MK			50° 03' 33.07323'' N	12° 23' 06.73759'' E
P310	Cheb st.hr. (Pomezí) - Cheb	143,978	Ne	O			50° 04' 58.20618'' N	12° 17' 56.42631'' E
P311	Cheb st.hr. (Pomezí) - Cheb	144,583	Ne	O			50° 04' 55.57792'' N	12° 18' 26.68436'' E
P312	Cheb st.hr. (Pomezí) - Cheb	145,405	Ne	O			50° 04' 52.00978'' N	12° 19' 07.48455'' E
P313	Cheb st.hr. (Pomezí) - Cheb	146,112	Ne	O		Kříž.kámen	50° 04' 48.93366'' N	12° 19' 42.80092'' E
P314	Cheb st.hr. (Pomezí) - Cheb	147,774	Ano	C		mistní Sv.Anna	50° 04' 25.31851'' N	12° 20' 54.97665'' E
P315	Plesná st.hr.3 - Vojtanov-SRN	58,08	Ne	O			50° 10' 49.484'' N	12° 19' 18.559'' E
P316	Plesná st.hr.3 - Vojtanov-SRN	59,211	Ano	O			50° 10' 26.458'' N	12° 19' 23.452'' E
P317	Vojtanov-ČR - Františkovy Lázně	60,66	Ano	3L			50° 09' 45.41634'' N	12° 19' 36.92625'' E
P318	Vojtanov-ČR - Františkovy Lázně	66,164	Ano	I.	64		50° 08' 00.06902'' N	12° 20' 20.93464'' E
P318	Františkovy Lázně - Hazlov	8,344	Ano	I.	64		50° 08' 00.06902'' N	12° 20' 20.93464'' E
P319	Vojtanov-ČR - Františkovy Lázně	67,025	Ano	III.	21330		50° 07' 40.67126'' N	12° 20' 44.22150'' E
P319	Františkovy Lázně - Hazlov	7,483	Ne	III.	21330		50° 07' 40.67126'' N	12° 20' 44.22150'' E
P320	žst. Františkovy Lázně	67,522	Ano	C			50° 07' 33.85693'' N	12° 21' 06.75404'' E
P321	Františkovy Lázně - Cheb (klášterecké staničení)	70,08	Ano	O			50° 06' 25.33216'' N	12° 22' 01.32633'' E
P322	Františkovy Lázně - Cheb (klášterecké staničení)	70,796	Ano	O			50° 06' 09.87433'' N	12° 22' 28.97936'' E
P323	Františkovy Lázně - Cheb (klášterecké staničení)	71,603	Ano	O			50° 05' 52.76836'' N	12° 22' 59.65235'' E
P324	Františkovy Lázně - Hazlov	12,293	Ne	3L			50° 09' 19.15496'' N	12° 20' 07.83120'' E
P325	Františkovy Lázně - Hazlov	17,647	Ne	II.	213		50° 09' 50.16673'' N	12° 17' 21.04415'' E
P326	Hazlov - Aš	20,88	Ne	III.	21315		50° 10' 11.62408'' N	12° 15' 18.41617'' E
P327	Hazlov - Aš	26,086	Ne	O			50° 11' 56.49810'' N	12° 12' 31.23642'' E
P328	Hazlov - Aš	26,688	Ne	C			50° 12' 16.23730'' N	12° 12' 28.93311'' E
P329	žst. Aš	27,292	Ne	C			50° 12' 31.65877'' N	12° 12' 11.54788'' E
P330	Aš - Aš město	0,078	Ne	C			50° 12' 33.88099'' N	12° 11' 57.46425'' E
P331	Aš - Aš město	1,565	Ne	C			50° 12' 57.77459'' N	12° 11' 15.50037'' E
P332	dD3 Aš město	1,709	Ne	C			50° 13' 02.09233'' N	12° 11' 12.62873'' E
P333	Aš město - Studánka	2,215	Ne	B			50° 13' 10.81806'' N	12° 10' 51.61697'' E
P334	Aš město - Studánka	3,617	Ne	III.	2161		50° 13' 44.44648'' N	12° 10' 27.18413'' E
P335	Aš město - Studánka	4,267	Ne	MK			50° 13' 57.08297'' N	12° 10' 03.49916'' E
P336	Aš město - Studánka	6,15	Ne	III.	2163		50° 14' 30.31227'' N	12° 09' 16.27617'' E
P337	Aš město - Studánka	6,605	Ne	O			50° 14' 41.96072'' N	12° 09' 29.28319'' E
P338	Aš město - Studánka	7,563	Ne	O			50° 15' 04.70824'' N	12° 09' 59.64425'' E
P339	Aš město - Studánka	8,21	Ne	O			50° 15' 08.54373'' N	12° 10' 30.88662'' E
P340	Aš město - Studánka	8,454	Ne	O			50° 15' 14.15084'' N	12° 10' 39.34474'' E
P341	Aš město - Studánka	9,036	Ne	O			50° 15' 31.78130'' N	12° 10' 36.35096'' E
P342	Aš město - Studánka	10,319	Ne	3L			50° 15' 58.60619'' N	12° 10' 28.53340'' E
P343	Aš město - Studánka	11,251	Ne	O			50° 16' 23.99766'' N	12° 10' 47.56776'' E
P344	Studánka - Hranice v Čechách	11,956	Ne	III.	2171		50° 16' 42.89616'' N	12° 10' 31.69155'' E
P345	Studánka - Hranice v Čechách	12,92	Ne	3L			50° 17' 08.09115'' N	12° 10' 17.89512'' E
P346	Studánka - Hranice v Čechách	14,239	Ne	III.	2171		50° 17' 41.58321'' N	12° 10' 14.97677'' E
P347	Studánka - Hranice v Čechách	15,018	Ne	C			50° 18' 01.17798'' N	12° 10' 26.83392'' E
P348	Mariánské Lázně - Vlkovice	1,023	Ne	3L			49° 57' 45.72863'' N	12° 41' 16.61106'' E
P349	Mariánské Lázně - Vlkovice	2,386	Ne	C			49° 57' 31.47352'' N	12° 42' 18.77185'' E
P350	Mariánské Lázně - Vlkovice	2,839	Ne	C			49° 57' 32.79505'' N	12° 42' 40.95471'' E
P351	Mariánské Lázně - Vlkovice	3,118	Ne	MK			49° 57' 28.61086'' N	12° 42' 53.38220'' E
P352	Mariánské Lázně - Vlkovice	5,512	Ne	MK			49° 56' 30.76283'' N	12° 44' 01.76048'' E
P353	Mariánské Lázně - Vlkovice	6,654	Ne	O			49° 56' 41.67468'' N	12° 44' 33.33345'' E
P354	Vlkovice - Ovesné Kladruby	7,098	Ne	O			49° 56' 55.59195'' N	12° 44' 30.02205'' E
P356	Vlkovice - Ovesné Kladruby	9,596	Ne	O			49° 57' 36.39208'' N	12° 45' 42.08383'' E
P357	Vlkovice - Ovesné Kladruby	10,21	Ne	III.	19831		49° 57' 45.90475'' N	12° 46' 01.16414'' E
P359	Vlkovice - Ovesné Kladruby	11,481	Ne	O			49° 57' 25.72071'' N	12° 46' 54.54912'' E
P360	Ovesné Kladruby - Teplá	11,97	Ne	O			49° 57' 21.82669'' N	12° 47' 18.42941'' E
P361	Ovesné Kladruby - Teplá	13,305	Ne	O			49° 57' 31.12792'' N	12° 48' 19.38045'' E
P362	Ovesné Kladruby - Teplá	14,214	Ne	O			49° 57' 38.72831'' N	12° 49' 00.07719'' E
P363	Ovesné Kladruby - Teplá	15,45	Ne	III.	19829		49° 57' 49.73904'' N	12° 49' 55.17700'' E
P365	Ovesné Kladruby - Teplá	16,638	Ne	III.	19829		49° 58' 00.57178'' N	12° 50' 51.49465'' E
P366	Teplá - Poutnov	18,85	Ne	II.	198		49° 58' 36.57134'' N	12° 51' 29.31593'' E
P367	Teplá - Poutnov	20,739	Ne	O			49° 59' 28.32575'' N	12° 50' 53.87705'' E
P368	Teplá - Poutnov	21,094	Ne	III.	19830		49° 59' 35.64818'' N	12° 50' 40.27436'' E
P369	Teplá - Poutnov	24,42	Ne	II.	210		50° 00' 59.43103'' N	12° 49' 20.87356'' E
P370	Poutnov - Bečov nad Teplou	26,074	Ne	O			50° 01' 48.65631'' N	12° 49' 33.26085'' E
P371	Poutnov - Bečov nad Teplou	27,692	Ne	II.	230		50° 02' 33.61721'' N	12° 49' 24.87664'' E
P372	Poutnov - Bečov nad Teplou	29,652	Ne	II.	230		50° 03' 22.85513'' N	12° 49' 54.32321'' E
P373	Poutnov - Bečov nad Teplou	31,058	Ne	3L			50° 04' 05.71960'' N	12° 49' 49.46357'' E
P373	Otročín - Bečov nad Teplou	85,548	Ne	3L			50° 04' 05.71960'' N	12° 49' 49.46357'' E
P374	Poutnov - Bečov nad Teplou	32,303	Ne	O			50° 04' 42.65756'' N	12° 49' 32.52137'' E
P374	Otročín - Bečov nad Teplou	86,783	Ne	O			50° 04' 42.65756'' N	12° 49' 32.52137'' E
P375	Bečov nad Teplou - Krásný Jez	33,445	Ne	II.	230		50° 05' 02.86637'' N	12° 50' 02.10066'' E
P376	Bečov nad Teplou - Krásný Jez	33,822	Ne	O			50° 05' 11.77485'' N	12° 50' 13.54654'' E
P377	Bečov nad Teplou - Krásný Jez	34,996	Ne	3L			50° 05' 41.56218'' N	12° 50' 28.84259'' E
P378	Krásný Jez - Teplička u Karlových Varů	37,928	Ne	MK			50° 07' 06.26404'' N	12° 50' 52.31383'' E
P378	Krásný Jez - STASIS	0,285	Ne	MK			50° 07' 06.26404'' N	12° 50' 52.31383'' E
P379	Krásný Jez - Teplička u Karlových Varů	38,524	Ne	III.	205		50° 07' 25.20959'' N	12° 50' 56.49405'' E
P380	Krásný Jez - Teplička u Karlových Varů	41,35	Ne	C			50° 08' 55.69098'' N	12° 51' 10.50297'' E
P381	Krásný Jez - Teplička u Karlových Varů	41,73	Ne	O			50° 09' 03.86599'' N	12° 50' 57.81823'' E
P382	Teplička u Karlových Varů - Karlovy Vary-Březová	43,018	Ne	III.	2093		50° 09' 35.76396'' N	12° 50' 19.76481'' E
P383	Teplička u Karlových Varů - Karlovy Vary-Březová	43,657	Ne	O			50° 09' 50.29338'' N	12° 50' 38.76520'' E
P384	Teplička u Karlových Varů - Karlovy Vary-Březová	44,004	Ne	O			50° 09' 58.84836'' N	12° 50' 28.83789'' E
P385	Teplička u Karlových Varů - Karlovy Vary-Březová	44,849	Ne	MK		majitel: ASTORIA	50° 10' 22.19447'' N	12° 50' 43.35991'' E
P386	Teplička u Karlových Varů - Karlovy Vary-Březová	45,305	Ne	MK			50° 10' 36.28096'' N	12° 50' 42.01155'' E
P387	Teplička u Karlových Varů - Karlovy Vary-Březová	45,708	Ne	MK			50° 10' 45.65810'' N	12° 50' 29.22384'' E
P388	Teplička u Karlových Varů - Karlovy Vary-Březová	48,143	Ne	C			50° 11' 57.92129'' N	12° 50' 18.90405'' E
P389	Karlovy Vary-Březová - Karlovy Vary dol.n.	48,587	Ne	MK			50° 12' 12.07558'' N	12° 50' 14.37005'' E
P390	Karlovy Vary-Březová - Karlovy Vary dol.n.	49,815	Ne	C			50° 12' 40.46267'' N	12° 49' 53.89069'' E
P391	Karlovy Vary-Březová - Karlovy Vary dol.n.	50,38	Ne	MK			50° 12' 58.30565'' N	12° 50' 00.74733'' E
P392	Karlovy Vary-Březová - Karlovy Vary dol.n.	51,312	Ne	O			50° 13' 17.51910'' N	12° 50' 35.77030'' E
P393	Karlovy Vary-Březová - Karlovy Vary dol.n.	52,18	Ne	MK			50° 13' 38.76429'' N	12° 50' 57.98392'' E
P394	Karlovy Vary-Březová - Karlovy Vary dol.n.	52,314	Ne	A			50° 13' 42.90821'' N	12° 50' 59.40832'' E
P395	Karlovy Vary-Březová - Karlovy Vary dol.n.	52,399	Ne	MK			50° 13' 44.90103'' N	12° 51' 02.23493'' E
P396	Karlovy Vary dol.n. - Karlovy Vary	2,272	Ne	C		ulice U Trati	50° 14' 24.54577'' N	12° 52' 31.48606'' E
P397	Krásný Jez - STASIS	0,662	Ne	MK			50° 07' 18.46323'' N	12° 50' 51.74083'' E
P398	Krásný Jez - STASIS	5,349	Ne	O			50° 08' 16.30969'' N	12° 49' 28.82651'' E
P399	Horní Slavkov-Kounice - Horní Slavkov	6,329	Ne	B			50° 08' 13.88421'' N	12° 48' 43.12320'' E
P400	Horní Slavkov - Loket předměstí	8,566	Ne	O			50° 08' 33.26016'' N	12° 47' 56.23128'' E
P401	Horní Slavkov - Loket předměstí	11,908	Ne	O			50° 09' 56.76108'' N	12° 46' 19.11079'' E
P402	Horní Slavkov - Loket předměstí	12,593	Ne	O			50° 10' 18.07902'' N	12° 46' 20.17306'' E
P403	Horní Slavkov - Loket předměstí	13,965	Ne	MK			50° 10' 56.85440'' N	12° 45' 52.42679'' E
P404	Loket předměstí - Loket	14,915	Ne	MK			50° 11' 17.90278'' N	12° 45' 20.62119'' E
P405	Loket - Nové Sedlo u Lokte	15,61	Ne	II.	209		50° 11' 32.21638'' N	12° 44' 56.00634'' E
P406	Loket - Nové Sedlo u Lokte	15,665	Ne	O			50° 11' 33.86004'' N	12° 44' 54.77834'' E
P412	Loket - Nové Sedlo u Lokte	17,338	Ne	III.	2097		50° 12' 15.83604'' N	12° 45' 06.70223'' E
P413	Loket - Nové Sedlo u Lokte	17,869	Ne	III.	2098		50° 12' 28.81556'' N	12° 44' 49.81817'' E
P414	Pňovany - Trpísty	0,513	Ne	O		lesní	49° 47' 11.24354'' N	13° 05' 03.45742'' E
P415	Pňovany - Trpísty	1,236	Ne	2L		lesní u mostu	49° 47' 05.17240'' N	13° 04' 31.87995'' E
P416	Pňovany - Trpísty	2,054	Ne	3L		lesní	49° 47' 20.63842'' N	13° 04' 01.43554'' E
P417	Pňovany - Trpísty	2,357	Ne	H		polní	49° 47' 26.79330'' N	13° 03' 51.34859'' E
P418	Pňovany - Trpísty	2,654	Ne	O		polní	49° 47' 34.79686'' N	13° 03' 58.57762'' E
P419	Pňovany - Trpísty	3,454	Ne	III.	19330	okresní silnice	49° 47' 49.31406'' N	13° 04' 24.88523'' E
P420	Pňovany - Trpísty	4,994	Ne	3L		polní	49° 48' 08.87050'' N	13° 03' 44.99252'' E
P421	Pňovany - Trpísty	5,67	Ne	3L		lesní	49° 48' 13.34686'' N	13° 03' 14.09816'' E
P422	Pňovany - Trpísty	6,025	Ne	O		polní	49° 48' 22.88349'' N	13° 03' 03.44231'' E
P423	Pňovany - Trpísty	6,373	Ne	O		polní	49° 48' 32.28903'' N	13° 02' 54.08251'' E
P424	Pňovany - Trpísty	7,017	Ne	II.	193	okr.silnice	49° 48' 52.00331'' N	13° 03' 00.15289'' E
P425	Trpísty - Cebiv	7,84	Ne	O		polní	49° 48' 59.01755'' N	13° 02' 21.34391'' E
P426	Trpísty - Cebiv	9,789	Ne	MK		přechod	49° 49' 19.61'' N	13° 00' 56.89'' E
P427	Trpísty - Cebiv	10,044	Ne	O		polní	49° 49' 19.55372'' N	13° 00' 44.00687'' E
P429	Trpísty - Cebiv	12,587	Ne	III.	20156	okr.silnice	49° 49' 51.24770'' N	12° 58' 56.73581'' E
P430	Cebiv - Kokašice	12,844	Ne	C		mistní komunikace	49° 49' 55.14573'' N	12° 58' 45.45409'' E
P431	Cebiv - Kokašice	15,008	Ne	O		polní	49° 50' 50.98926'' N	12° 58' 35.56550'' E
P432	Cebiv - Kokašice	15,422	Ne	O		polní	49° 51' 03.37499'' N	12° 58' 43.29431'' E
P433	Cebiv - Kokašice	15,908	Ne	2L		polní	49° 51' 18.15258'' N	12° 58' 48.76976'' E
P434	Cebiv - Kokašice	17,041	Ne	O		polní	49° 51' 46.02523'' N	12° 58' 24.49865'' E
P435	Cebiv - Kokašice	17,69	Ne	O		lesní	49° 52' 02.16016'' N	12° 58' 32.68498'' E
P436	Cebiv - Kokašice	18,644	Ne	III.	19320	u zastávky	49° 52' 23.64907'' N	12° 58' 02.35524'' E
P438	Cebiv - Kokašice	19,555	Ne	O		polní	49° 52' 40.88930'' N	12° 57' 27.32382'' E
P439	Cebiv - Kokašice	19,864	Ne	II.	201	okresní silnice	49° 52' 49.90340'' N	12° 57' 29.28304'' E
P440	Cebiv - Kokašice	20,122	Ne	O		polní	49° 52' 55.86541'' N	12° 57' 38.27514'' E
P441	Kokašice - Bezdružice	20,452	Ne	C		polní	49° 52' 56.77233'' N	12° 57' 54.58573'' E
P442	Kokašice - Bezdružice	20,882	Ne	C		mistní	49° 53' 01.79542'' N	12° 58' 14.00086'' E
P443	Kokašice - Bezdružice	21,155	Ne	C		mistní u zastávky	49° 53' 04.98387'' N	12° 58' 26.66265'' E
P444	Kokašice - Bezdružice	21,396	Ne	C		místní	49° 53' 06.14958'' N	12° 58' 38.44821'' E
P445	Kokašice - Bezdružice	22,052	Ne	C		polní	49° 53' 25.31035'' N	12° 58' 45.14195'' E
P447	Chrást u Plzně - Stupno	10,179	Ne	MK		přechod pro pěší	49° 47' 31.70906'' N	13° 29' 24.01654'' E
P448	Chrást u Plzně - Stupno	10,504	Ne	II.	180	okr.silnice II.tř	49° 47' 41.65438'' N	13° 29' 21.60599'' E
P449	Chrást u Plzně - Stupno	10,69	Ne	MK		přechod pro pěší	49° 47' 45.93210'' N	13° 29' 26.88281'' E
P450	Chrást u Plzně - Stupno	12,637	Ne	O		polní	49° 48' 14.05204'' N	13° 30' 48.75478'' E
P451	Chrást u Plzně - Stupno	12,846	Ne	O		polní	49° 48' 17.33464'' N	13° 30' 57.95691'' E
P452	Chrást u Plzně - Stupno	13,391	Ne	C		polní	49° 48' 27.09687'' N	13° 31' 19.97105'' E
P453	Chrást u Plzně - Stupno	13,852	Ne	II.	233	okr.silnice	49° 48' 22.15540'' N	13° 31' 41.24368'' E
P454	Chrást u Plzně - Stupno	15,054	Ne	C		účelová komunikace	49° 48' 22.47927'' N	13° 32' 35.93870'' E
P455	Chrást u Plzně - Stupno	15,555	Ne	II.	233	okresní silnice	49° 48' 36.98685'' N	13° 32' 46.84748'' E
P456	Chrást u Plzně - Stupno	16,006	Ne	II.	233	okresní siln.	49° 48' 43.76591'' N	13° 33' 05.15766'' E
P457	Chrást u Plzně - Stupno	16,669	Ne	II.	233	okresní silnice	49° 48' 53.82811'' N	13° 33' 32.72569'' E
P458	Chrást u Plzně - Stupno	16,948	Ne	C		mistní	49° 48' 57.08001'' N	13° 33' 45.37866'' E
P459	Chrást u Plzně - Stupno	17,588	Ne	II.	233	okr.silnice	49° 49' 00.73224'' N	13° 34' 16.75547'' E
P460	Chrást u Plzně - Stupno	17,904	Ne	C		mistní	49° 49' 00.71281'' N	13° 34' 32.49024'' E
P461	Chrást u Plzně - Stupno	18,397	Ne	C		obecní	49° 49' 00.45298'' N	13° 34' 55.91766'' E
P463	Chrást u Plzně - Stupno	19,373	Ne	II.	233	okresní silnice	49° 49' 28.05374'' N	13° 34' 43.48787'' E
P463	Stupno - FORCREDIT Břasy	0,242	Ne	II.	233	okresní silnice	49° 49' 28.05374'' N	13° 34' 43.48787'' E
P464	Stupno - FORCREDIT Břasy	0,532	Ne	C		polní	49° 49' 22.06775'' N	13° 34' 54.37748'' E
P465	Stupno - FORCREDIT Břasy	1,584	Ne	O		polní	49° 49' 24.96464'' N	13° 35' 39.03446'' E
P466	Stupno - FORCREDIT Břasy	2,01	Ne	MK		přechod	49° 49' 37.12230'' N	13° 35' 45.99974'' E
P468	FORCREDIT Břasy - Radnice	3,618	Ne	C		polní	49° 50' 23.28976'' N	13° 35' 23.48125'' E
P469	FORCREDIT Břasy - Radnice	3,975	Ne	II.	233	okresní siln.	49° 50' 33.28606'' N	13° 35' 14.80255'' E
P470	FORCREDIT Břasy - Radnice	4,454	Ne	O		obecní	49° 50' 48.59175'' N	13° 35' 15.37548'' E
P471	FORCREDIT Břasy - Radnice	5,29	Ne	O		polní	49° 51' 13.14336'' N	13° 35' 21.56236'' E
P472	FORCREDIT Břasy - Radnice	6,057	Ne	O		polní	49° 51' 35.79973'' N	13° 35' 25.40340'' E
P473	FORCREDIT Břasy - Radnice	6,288	Ne	C		mistní	49° 51' 36.08031'' N	13° 35' 36.47585'' E
P474	Protivín - Putim	0,156	Ano	C			49° 12' 57.34659'' N	14° 12' 13.16493'' E
P475	Protivín - Putim	0,892	Ano	O			49° 13' 11.55288'' N	14° 11' 44.26614'' E
P476	Protivín - Putim	1,277	Ano	C			49° 13' 17.53219'' N	14° 11' 27.56091'' E
